WKT;id;zona;tipologia;n_posti;fumetto;anno;nr_moduli;tot_bici;foto;codice_via;civico;barra;edificio;Tipo_generale;categoria
"LINESTRING (664411.756085186 5103909.45780741,664412.819807408 5103906.5503)";"15";ZTL;Metallo 4 posti;"4";VIA S. MARIA MADDALENA - nr. posti 4;"2022";"1";"4";15.jpg;"2970";"16";;"LICEO MUSICALE E COREUTICO ""F.A. BONPORTI""";Rastr_tradizionale;SCUOLA
"LINESTRING (664413.245296297 5103905.41566297,664415.089081482 5103900.3097963)";"16";ZTL;Metallo 4 posti;"4";VIA S. MARIA MADDALENA - nr. posti 12;"2022";"3";"12";16.jpg;"2970";"16";;"LICEO MUSICALE E COREUTICO ""F.A. BONPORTI""";Rastr_tradizionale;SCUOLA
"LINESTRING (664322.113802083 5103438.42203129,664322.16671875 5103439.07026046)";"282";S. GIUSEPPE_S. CHIARA;Bronzetti 5 posti;"5";;"2022";"1";"5";282.jpg;"2290";"1";;"CONSERVATORIO MUSICA ""F.A. BONPORTI""";Rastr_tradizionale;SCUOLA
"LINESTRING (663970.587141422 5105991.93846592,663972.7890117 5105992.48893349)";"330";CENTRO STORICO_PIEDICASTELLO;Bronzetti 5 posti;"5";;"2022";"1";"5";330.jpg;"3150";"24";;"ASILO NIDO ""LA TROTTOLA""";Rastr_tradizionale;SCUOLA
"LINESTRING (664918.467916624 5101100.18083338,664921.537083294 5101100.65708338)";"445";OLTREFERSINA;Salè;"9";;"2023";"1";"9";445.JPG;"4087";;;PARCO;Rastr_tradizionale;
"LINESTRING (663972.395820579 5105983.99600528,663975.148158426 5105984.7037493)";"331";CENTRO STORICO_PIEDICASTELLO;Bronzetti 5 posti;"5";;"2022";"1";"5";331.jpg;"3150";"26";;"SCUOLA INFANZIA ""IL QUADRIFOGLIO""";Rastr_tradizionale;SCUOLA
"LINESTRING (664111.710195545 5103467.1955403,664111.817938485 5103463.74776621)";"441";CENTRO STORICO-PIEDICASTELLO;Bronzetti 5 posti;"5";;"2023";"3";"15";441.jpg;"3320";"4";;"SCUOLA SECONDARIA ""G. BRESADOLA""";Rastr_tradizionale;SCUOLA
"LINESTRING (663618.664226842 5106978.70228442,663623.124475122 5106978.57484876)";"342";GARDOLO;Archetto;"2";;"2023";"5";"10";342.JPG;"5903";;;;Rastr_bloccatelaio;
"LINESTRING (664364.416354152 5104039.39375007,664364.94552082 5104037.27708341)";"13";ZTL;Verona 90;"6";P.TTA DEGLI AGOSTINIANI - nr. posti 6;"2022";"1";"6";13.jpg;"80";"1";;;Rastr_bloccatelaio;
"LINESTRING (664061.303957076 5103947.7437514,664064.214373745 5103947.7437514)";"5";ZTL;Verona 90;"6";VIA R. BELENZANI - nr. posti 6;"2022";"1";"6";5.jpg;"240";"3";;UFFICI COMUNALI PALAZZO THUN;Rastr_bloccatelaio;
"LINESTRING (663792.104167099 5107057.83983248,663796.564415379 5107054.52650518)";"343";GARDOLO;Archetto;"2";;"2023";"5";"10";343.JPG;"5903";;;;Rastr_bloccatelaio;
"LINESTRING (664253.453133829 5103840.43973573,664254.72749048 5103841.87338697)";"344";CENTRO STORICO_PIEDICASTELLO;Metallo 4 posti;"4";;"2023";"2";"8";344.JPG;"610";"1";;;Rastr_tradizionale;
"LINESTRING (664267.093164675 5103844.23435435,664267.912667148 5103844.35497486)";"345";CENTRO STORICO_PIEDICASTELLO;Metallo 4 posti;"4";;"2023";"1";"4";345.JPG;"610";"7";;;Rastr_tradizionale;
"LINESTRING (664214.788889519 5103932.1966367,664219.493653239 5103932.70723121)";"11";ZTL;Verona 90;"6";PIAZZA C. BATTISTI - nr. posti 6;"2022";"1";"6";11.jpg;"230";"1";;;Rastr_bloccatelaio;
"LINESTRING (663492.558671456 5110275.805425,663492.686107121 5110274.02132569)";"346";MEANO;Bronzetti 5 posti;"5";;"2023";"1";"5";346.JPG;"8534";"26";;;Rastr_tradizionale;
"LINESTRING (664825.408293173 5110975.93696929,664825.726882336 5110974.08915215)";"349";MEANO;Rotonda 6 posti;"6";;"2023";"1";"6";349.JPG;"8546";;;;Rastr_tradizionale;
"LINESTRING (664272.433333789 5104190.9033308,664273.491667123 5104192.59666413)";"192";CENTRO STORICO_PIEDICASTELLO;Verona 45;"6";;"2023";"1";"6";192.jpg;"3310";;;;Rastr_bloccatelaio;
"LINESTRING (664293.017498074 5103846.61561877,664298.834938455 5103846.22468974)";"18";ZTL;Metallo 4 posti;"4";LARGO G. CARDUCCI - nr. posti 16;"2022";"4";"16";18.jpg;"610";"21";;;Rastr_tradizionale;
"LINESTRING (659268.205187478 5104001.22622146,659269.605845704 5104001.37436801)";"352";BONDONE;Metallo 4 posti;"4";;"2023";"1";"4";352.jpg;"8027";"8";;;Rastr_tradizionale;
"LINESTRING (664161.905463888 5103486.50412315,664150.417263888 5103488.91522686)";"33";ZTL;Metallo 4 posti;"4";VIA AL TORRIONE - nr. posti 28;"2022";"7";"28";33.jpg;"3320";"10";;"INFANZIA ""TORRIONE""";Rastr_tradizionale;SCUOLA
