id;type;capacity;latitude;longitude
260;tradizionale;6;46.0632913;11.1243681
185;bloccatelaio;10;46.0730183;11.1177577
200;bloccatelaio;24;46.0822486;11.1172209
215;bloccatelaio;12;46.1040742;11.1134024
253;bloccatelaio;4;46.0772873;11.1204986
176;bloccatelaio;6;46.0673425;11.1172338
270;bloccatelaio;10;46.0622967;11.1253472
273;tradizionale;5;46.0636496;11.1256980
240;tradizionale;4;46.1099486;11.1104393
241;tradizionale;12;46.1093907;11.1108398
242;tradizionale;8;46.1082632;11.1114071
243;tradizionale;4;46.1073170;11.1049899
244;tradizionale;4;46.1064011;11.1055772
259;tradizionale;6;46.0633140;11.1243625
58;tradizionale;8;46.0761001;11.1238870
59;tradizionale;12;46.0743242;11.1249991
60;tradizionale;6;46.0907566;11.1176617
65;tradizionale;6;46.1002354;11.1026612
261;tradizionale;6;46.0632688;11.1243744
74;tradizionale;8;46.0566222;11.1212881
79;tradizionale;6;46.0562250;11.1188634
42;tradizionale;4;46.0667945;11.1217250
81;tradizionale;4;46.0611735;11.1216516
85;tradizionale;4;46.0589045;11.1177933
86;tradizionale;4;46.0589042;11.1178252
87;tradizionale;4;46.0565480;11.1190869
88;tradizionale;6;46.0596820;11.1192989
92;tradizionale;12;46.0841628;11.1198707
94;tradizionale;3;46.0581252;11.1213338
96;tradizionale;3;46.0579961;11.1213445
97;tradizionale;12;46.0579243;11.1203625
98;tradizionale;4;46.0583699;11.1217066
109;tradizionale;5;46.0729119;11.1248189
110;tradizionale;5;46.0729756;11.1248348
111;tradizionale;4;46.0736744;11.1248732
112;tradizionale;6;46.0747510;11.1251953
113;tradizionale;6;46.0747350;11.1252009
114;tradizionale;15;46.0746657;11.1257277
115;tradizionale;10;46.0747149;11.1257597
116;tradizionale;6;46.0725006;11.1249086
117;tradizionale;8;46.0765106;11.1249686
123;tradizionale;8;46.0700238;11.1278397
124;tradizionale;12;46.0700725;11.1278869
126;tradizionale;16;46.0696697;11.1279830
135;tradizionale;8;46.0654517;11.1258539
144;tradizionale;4;46.0660900;11.1271235
145;tradizionale;8;46.0661050;11.1270639
146;tradizionale;4;46.0662743;11.1264192
147;tradizionale;12;46.0662946;11.1263455
148;tradizionale;8;46.0663138;11.1262753
149;tradizionale;12;46.0676522;11.1281932
150;tradizionale;12;46.0675873;11.1281290
154;tradizionale;5;46.0859198;11.1205912
168;tradizionale;9;46.0608380;11.1122877
169;tradizionale;9;46.0596311;11.1122127
263;tradizionale;4;46.0617699;11.1242473
216;tradizionale;18;46.1038579;11.1134982
222;tradizionale;12;46.1048457;11.1119303
119;tradizionale;4;46.0673814;11.1173042
194;tradizionale;5;46.0774339;11.1193271
195;tradizionale;4;46.0780985;11.1185399
196;tradizionale;4;46.0780957;11.1187596
197;tradizionale;5;46.0790371;11.1180159
198;tradizionale;5;46.0790256;11.1178528
199;tradizionale;30;46.0906077;11.1099426
203;tradizionale;8;46.0710795;11.1100616
206;tradizionale;4;46.0713436;11.1136038
207;tradizionale;4;46.0713528;11.1136002
208;tradizionale;5;46.0713601;11.1135971
209;tradizionale;4;46.0713680;11.1135940
214;tradizionale;4;46.0980255;11.1129150
228;tradizionale;4;46.0562465;11.1307967
229;tradizionale;4;46.0562004;11.1305890
459;bloccatelaio;12;46.1041653;11.1131147
248;tradizionale;4;46.0576350;11.1326189
254;tradizionale;15;46.0633116;11.1237853
177;bloccatelaio;6;46.0673275;11.1172366
464;tradizionale;4;46.1004005;11.1173506
465;tradizionale;4;46.1003418;11.1173579
